time,cell_fraction_regularized
32.5,0.9448873598200404
32.75,0.9435310463462238
33.0,0.9421416520559727
33.25,0.940289126335638
33.5,0.9379073075523503
33.75,0.9357901353005392
34.0,0.9340037712130735
34.25,0.9321512454927388
34.5,0.9305633663038804
34.75,0.9286115981342419
35.0,0.9270237189453836
35.25,0.9255020013893942
35.5,0.9235171524033212
35.75,0.9214661417843792
36.0,0.9194151311654372
36.25,0.9175295246286678
36.5,0.9159085646233748
36.75,0.9143206854345165
37.0,0.9130305335935691
37.25,0.9122696748155744
37.5,0.9114426544047106
37.75,0.9103840682788051
38.0,0.9094247246022031
38.25,0.9085646233749048
38.5,0.9076052796983028
38.75,0.9068775017367429
39.0,0.905322703364319
39.25,0.9036686625425915
39.5,0.9017499751893877
39.75,0.8997982070197492
40.0,0.897681034767938
40.25,0.8957623474147343
40.5,0.893942902510834
40.75,0.8920242151576301
41.0,0.8900062853551226
41.25,0.8882199212676568
41.5,0.8864335571801911
41.75,0.8850441628899401
42.0,0.8836878494161237
42.25,0.8821992126765689
42.5,0.8806113334877105
42.75,0.8784941612358993
43.0,0.876376988984088
43.25,0.8747229481623605
43.5,0.873366634688544
43.75,0.871977240398293
44.0,0.8702570379436964
44.25,0.8682721889576234
44.5,0.8662873399715504
44.75,0.8647325415991266
45.0,0.8629792583280954
45.25,0.8612590558734989
45.5,0.8600350656654207
45.75,0.8584802672929968
46.0,0.8568593072877038
46.25,0.8551060240166727
46.5,0.8528565284991233
46.75,0.8502100631843593
47.0,0.8473981937874226
47.25,0.8450163750041351
47.5,0.8426014754044129
47.75,0.8403850607032982
48.0,0.8378709186542724
48.25,0.8352906149723774
48.5,0.8328426345562208
48.75,0.8301300076085878
49.0,0.8283436435211221
49.25,0.8267226835158291
49.5,0.8252340467762744
49.75,0.8238446524860233
50.0,0.8226537430943796
50.25,0.8211320255383902
50.5,0.8197757120645737
50.75,0.8185186410400609
51.0,0.8166330345032915
51.25,0.8144166198021767
51.5,0.8122994475503655
51.75,0.8106784875450725
52.0,0.8088921234576069
52.25,0.8073042442687486
52.5,0.8061464156935393
52.75,0.8057825267127593
53.0,0.8051870720169374
53.25,0.8038307585431208
53.5,0.8023421218035661
53.75,0.8008534850640114
54.0,0.7988355552615038
54.25,0.7971484336233418
54.5,0.7953951503523107
54.75,0.793906513612756
55.0,0.7924178768732012
55.25,0.790896159317212
55.5,0.7894406033940917
55.75,0.7880512091038406
56.0,0.7867941380793279
56.25,0.785669390320553
56.5,0.7850408548082967
56.75,0.7847762082768203
57.0,0.7841145919481293
57.25,0.7829898441893546
57.5,0.7818981772470144
57.75,0.7807734294882397
58.0,0.7798471666280724
58.25,0.7789209037679049
58.5,0.7780608025406067
58.75,0.7774653478447847
59.0,0.7767044890667901
59.25,0.7754804988587117
59.5,0.7740911045684608
59.75,0.7727017102782097
60.0,0.7707499421085713
60.25,0.7689635780211055
60.5,0.7669787290350326
60.75,0.7655893347447815
61.0,0.7647623143339178
61.25,0.763935293923054
61.5,0.7631082735121903
61.75,0.7617850408548084
62.0,0.7604618081974264
62.25,0.758940090641437
62.5,0.7569883224717986
62.75,0.7548049885871182
63.0,0.7528863012339144
63.25,0.7518607959244434
63.5,0.7507691289821032
63.75,0.7492804922425486
64.0,0.7484203910152503
64.25,0.7474610473386483
64.5,0.746898673459261
64.75,0.7459724105990936
65.0,0.7450461477389261
65.25,0.7443183697773661
65.5,0.7433590261007641
65.75,0.7425981673227695
66.0,0.7417049852790366
66.25,0.7408118032353038
66.5,0.7399186211915709
66.75,0.7386946309834926
67.0,0.7376360448575872
67.25,0.7365112970988124
67.5,0.7354196301564722
67.75,0.7344933672963049
68.0,0.7334678619868338
68.25,0.732210790962321
68.5,0.7310198815706772
68.75,0.7297297297297297
69.0,0.7282080121737405
69.25,0.7270171027820965
69.5,0.7258923550233221
69.75,0.7245029607330709
70.0,0.7237090211386417
70.25,0.7230143239935161
70.5,0.7225511925634324
70.75,0.7213602831717886
71.0,0.7203016970458831
71.25,0.7194085150021502
71.5,0.7184160905091137
71.75,0.7174898276489464
72.0,0.7170266962188626
72.25,0.7166297264216481
72.5,0.7162327566244334
72.75,0.7158027060107844
73.0,0.7153726553971351
73.25,0.7147772007013132
73.5,0.7138840186575804
73.75,0.7132885639617585
74.0,0.7125607860001985
74.25,0.7125607860001985
74.5,0.7121307353865493
74.75,0.7118330080386385
75.0,0.7109398259949055
75.25,0.7097819974196963
75.5,0.708855734559529
75.75,0.7082933606801415
76.0,0.7076979059843197
76.25,0.7069039663898905
76.5,0.7054814912832048
76.75,0.7044559859737338
77.0,0.7034966422971318
77.25,0.7024711369876608
77.5,0.7015448741274933
77.75,0.7004532071851534
78.0,0.6992953786099441
78.25,0.6984352773826459
78.5,0.6974097720731747
78.75,0.6965496708458764
79.0,0.69592113533362
79.25,0.6954249230871017
79.5,0.6939693671639816
79.75,0.692910781038076
80.0,0.6917860332793012
80.25,0.6908597704191339
80.5,0.689602699394621
80.75,0.6883787091865428
81.0,0.6872208806113335
81.25,0.685864567137517
81.5,0.6845744152965695
81.75,0.6836481524364021
82.0,0.6822918389625856
82.25,0.6809686063052036
82.5,0.6801415858943398
82.75,0.6790499189519996
83.0,0.6778590095603559
83.25,0.6767673426180157
83.5,0.6761718879221938
83.75,0.6757087564921102
84.0,0.6750802209798538
84.25,0.6734923417909954
84.5,0.671904462602137
84.75,0.670581229944755
85.0,0.6698534519831949
85.25,0.6691256740216348
85.5,0.668530219325813
85.75,0.6677031989149492
86.0,0.6669754209533891
86.25,0.6661484005425253
86.5,0.6659168348274835
86.75,0.6656191074795725
87.0,0.6657514307453107
87.25,0.6659168348274835
87.5,0.6660160772767871
87.75,0.6660491580932217
88.0,0.6662145621753945
88.25,0.6662807238082635
88.5,0.6660160772767871
88.75,0.6655198650302689
89.0,0.6650236527837506
89.25,0.6640973899235832
89.5,0.6640312282907141
89.75,0.6637665817592378
90.0,0.6632372886962851
90.25,0.6626087531840286
90.5,0.6619140560389031
90.75,0.6624433491018558
91.0,0.6629064805319396
91.25,0.6634688544113269
91.5,0.6635019352277615
91.75,0.663171127063416
92.0,0.6629064805319396
92.25,0.6629064805319396
92.5,0.6621456217539449
92.75,0.6617155711402957
93.0,0.6613847629759502
93.25,0.6609547123623011
93.5,0.6604254192993483
93.75,0.6595322372556155
94.0,0.6588706209269245
94.25,0.6584405703132753
94.5,0.6581097621489298
94.75,0.6572827417380661
