time,cell_fraction_regularized
39.0,1.0722087378640777
39.25,1.0719231867504284
39.5,1.071851798972016
39.75,1.0728512278697886
40.0,1.0738863506567675
40.25,1.0749928612221586
40.5,1.0759922901199315
40.75,1.076956025128498
41.0,1.0778840662478584
41.25,1.078883495145631
41.5,1.0798829240434038
41.75,1.0803112507138777
42.0,1.0796687607081668
42.25,1.0789905768132497
42.5,1.0788121073672188
42.75,1.079311821816105
43.0,1.0797401484865792
43.25,1.0802755568246716
43.5,1.0815962307252998
43.75,1.082702741290691
44.0,1.0832381496287837
44.25,1.082881210736722
44.5,1.0824171901770416
44.75,1.0821316390633924
45.0,1.082310108509423
45.25,1.0823458023986294
45.5,1.0824171901770416
45.75,1.0825242718446604
46.0,1.0825956596230726
46.25,1.0826313535122787
46.5,1.0817747001713307
46.75,1.080739577384352
47.0,1.0796687607081668
47.25,1.0793832095945175
47.5,1.0790262707024558
47.75,1.078419474585951
48.0,1.0779197601370647
48.25,1.0775271273557967
48.5,1.0778483723586523
48.75,1.078026841804683
49.0,1.0784908623643632
49.25,1.079276127926899
49.5,1.07991861793261
49.75,1.080346944603084
50.0,1.0809537407195888
50.25,1.0818817818389492
50.5,1.0828098229583096
50.75,1.0830596801827528
51.0,1.083345231296402
51.25,1.0835950885208454
51.5,1.0832381496287837
51.75,1.083523700742433
52.0,1.0837021701884637
52.25,1.0836307824100515
52.5,1.0830953740719589
52.75,1.0824171901770416
53.0,1.0820245573957739
53.25,1.0816676185037122
53.5,1.081203597944032
53.75,1.0809537407195888
54.0,1.0812749857224444
54.25,1.0817747001713307
54.5,1.0821316390633924
54.75,1.082310108509423
55.0,1.082452884066248
55.25,1.0817390062821246
55.5,1.0810965162764137
55.75,1.0804540262707025
56.0,1.0800256996002287
56.25,1.0797401484865792
56.5,1.079311821816105
56.75,1.0795259851513421
57.0,1.0797758423757853
57.25,1.080132781267847
57.5,1.080168475157053
57.75,1.0803826384922903
58.0,1.0805254140491147
58.25,1.0805254140491147
58.5,1.0800613934894348
58.75,1.079704454597373
59.0,1.0793475157053114
59.25,1.0787050256996003
59.5,1.077991147915477
59.75,1.0775985151342091
60.0,1.076956025128498
60.25,1.0760636778983437
60.5,1.0751713306681896
60.75,1.0749571673329525
61.0,1.0747430039977157
61.25,1.073993432324386
61.5,1.0738149628783553
61.75,1.0736364934323244
62.0,1.073315248429469
62.25,1.0729583095374073
62.5,1.0726013706453454
62.75,1.0728155339805825
63.0,1.0727084523129642
63.25,1.072494288977727
63.5,1.0721016561964591
63.75,1.0716019417475728
64.0,1.070959451741862
64.25,1.0702812678469447
64.5,1.0695316961736152
64.75,1.068853512278698
65.0,1.0681039406053685
65.25,1.0681753283837807
65.5,1.0682110222729868
65.75,1.0686036550542548
66.0,1.0684608794974302
66.25,1.0682110222729868
66.5,1.0679611650485437
66.75,1.066961736150771
67.0,1.065890919474586
67.25,1.064605939463164
67.5,1.063535122786979
67.75,1.0626070816676185
68.0,1.0617147344374644
68.25,1.0609651627641348
68.5,1.0600728155339807
68.75,1.0588592233009708
69.0,1.0576456310679612
69.25,1.056360651056539
69.5,1.0545402627070246
69.75,1.0524700171330668
70.0,1.05057824100514
70.25,1.0487578526556254
70.5,1.0468303826384924
70.75,1.0449029126213594
71.0,1.0427612792689893
71.25,1.0410836664762992
71.5,1.0394060536836094
71.75,1.0380139920045688
72.0,1.0366933181039406
72.25,1.0356581953169617
72.5,1.034444603083952
72.75,1.0326956025128498
73.0,1.03101798972016
73.25,1.0294117647058825
73.5,1.0279483152484294
73.75,1.0264491719017703
74.0,1.0246287835522558
74.25,1.0227370074243292
74.5,1.021059394631639
74.75,1.0195245573957739
75.0,1.0180611079383208
75.25,1.016561964591662
75.5,1.0145631067961165
75.75,1.0119931467732723
76.0,1.0097087378640777
76.25,1.0077812678469447
76.5,1.0057824100513992
76.75,1.0040691033695033
77.0,1.0019631639063393
77.25,1.0002498572244434
77.5,0.9986079383209594
77.75,0.9964663049685893
78.0,0.994253283837807
78.25,0.9920402627070246
78.5,0.990005711022273
78.75,0.9882567104511707
79.0,0.9865434037692747
79.25,0.9851513420902341
79.5,0.9843303826384923
79.75,0.9834380354083381
80.0,0.9822958309537407
80.25,0.9812607081667618
80.5,0.9803326670474015
80.75,0.9792975442604226
81.0,0.978512278697887
81.25,0.976834665905197
81.5,0.9750499714448886
81.75,0.972979725870931
82.0,0.970873786407767
82.25,0.9685893774985722
82.5,0.9665191319246146
82.75,0.9645559680182754
83.0,0.9624857224443175
83.25,0.9603083952027414
83.5,0.9583809251856082
83.75,0.9564534551684751
84.0,0.9549543118218161
84.25,0.9534908623643633
84.5,0.9518846373500858
84.75,0.9501713306681896
85.0,0.9478869217589948
85.25,0.9456025128498001
85.5,0.9438178183894916
85.75,0.9423543689320388
86.0,0.9408552255853798
86.25,0.938999143346659
86.5,0.936857509994289
86.75,0.9347158766419189
87.0,0.933038263849229
87.25,0.931146487721302
87.5,0.9292904054825815
87.75,0.9279697315819533
88.0,0.9262921187892633
88.25,0.924543118218161
88.5,0.9226513420902342
88.75,0.9202241576242147
89.0,0.9173686464877213
89.25,0.9143346659051971
89.5,0.911764705882353
89.75,0.9091590519703027
90.0,0.9067675613934895
90.25,0.9040548258138208
90.5,0.9012707024557396
90.75,0.8986293546544831
91.0,0.8957024557395774
91.25,0.8937749857224443
91.5,0.8920259851513421
91.75,0.8904197601370646
92.0,0.8889206167904056
92.25,0.8876356367789835
92.5,0.8859937178754996
92.75,0.8845302684180468
